Job_Title,Company,City,Salary,Description,Experience,Education,Skills
Not Mentioned,Not Mentioned,"Noida, Gurugram",Not disclosed,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/Machine LearningPri...,0-5 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: M.Tech in Any Specialization
Doctorate: Doctorate Not Required","['ANN', 'deep learning', 'AI Modelling', 'CNN', 'NLP', 'RNN', 'Natural Language Processing', 'AI Data Modelling']"
Not Mentioned,GSK India,Bengaluru,Not disclosed,Bachelors degree and 4+ years of experience in pharmaceutical commercial analytics . Ba...,3-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Procurement', 'Pharma', 'power bi', 'Healthcare', 'Oncology', 'HR', 'Analytics', 'SQL', 'Python', 'Recruitment']"
Not Mentioned,Evalueserve,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",Not disclosed,"Preferred candidate profile . Bachelors degree or higher in statistics, mathematics, en...",3-8 Yrs,Not Mentioned,['Not Mentioned']
Not Mentioned,EY,"Pune, Gurugram, Bengaluru",Not disclosed,Preferred candidate profile . .,4-8 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization","['R', 'SAS', 'Power Bi', 'Revenue Growth Management', 'Data Visualization', 'Tableau', 'Machine Learning', 'Python', 'SQL']"
Not Mentioned,NDS Infoserv,Mumbai,12-15 Lacs PA,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...",0-2 Yrs,"Education
Doctorate: Ph.D/Doctorate in Electronics/Telecommunication, Computers",['Data Science']
Not Mentioned,Loyalytics,Bengaluru,Not disclosed,We are specifically inviting fresh graduates from IITs to join our energetic teamProven...,1-3 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['project management', 'written communication', 'agile', 'retail analytics', 'retail', 'sql', 'communication skills', 'transportation']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,- knowledge of Splunk- Able to automate data flow from Splunk to DB (Aware on the APis)...,4-6 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","['Aware', 'APis', 'Web Framework']"
Not Mentioned,NCR Corporation,Gurugram,Not disclosed,Prior experience with internships or projects in AI / ML is a plus. . Offers of employm...,2-6 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['deep learning', 'Analytical', 'Machine learning', 'Programming', 'Data collection', 'Data structures', 'data visualization', 'Recruitment', 'Python']"
Not Mentioned,Collegedunia,Gurugram,Not disclosed,"- Collecting, cleaning, and organizing data from various sources.- Possessing a strong ...",1-2 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","['NLP', 'Data Scientist', 'Artificial Intelligence', 'Machine Learning', 'Predictive Analytics', 'Python']"
Not Mentioned,Indegene,Bengaluru,Not disclosed,". Bachelors in Computer Science, Data Science, or a related fieldThe ideal candidate sh...",2-6 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Data analysis', 'data science', 'data manipulation', 'Machine learning', 'Manager Technology', 'Healthcare', 'Natural language processing', 'Python']"
