Job_Title,Company,City,Salary,Description,Experience,Education,Skills
Not Mentioned,Not Mentioned,"Mumbai, Delhi / NCR, Bengaluru",Not disclosed,Preferred Skills : Exposure to Signal processing concepts and sensor data handling. Loc...,6-11 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Ph.D/Doctorate in Any Specialization","['Tensorflow', 'C++', 'DNN', 'Artificial Intelligence', 'Deep Learning', 'Sensor', 'Signal Processing', 'Python', 'algorithm design']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,5 - 5 years of relevant Machine Learning experience. . - B Tech from Tier-1 college i.e...,3-5 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","['Data Science', 'Predictive Modeling', 'SciPy', 'Generative AI', 'Data Scientist', 'PySpark', 'Pandas', 'Statistical Modeling', 'Big Data', 'NumPy', 'Python']"
Not Mentioned,Not Mentioned,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,prudential corporation asia is looking for Senior Machine Learning Engineer to join our...,4-9 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['algorithms', 'python', 'modeling', 'natural language processing', 'neural networks', 'data pipeline', 'machine learning', 'artificial intelligence', 'scalability', 'deep learning', 'ml algorithms', 'predictive modeling', 'computer vision', 'troubleshooting', 'machine learning algorithms', 'ml']"
Not Mentioned,"Godaddy Operating Company, Llc","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,"Mid-Level : 4+ years of experience, including 2+ years in machine learning or related f...",1-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer vision', 'Version control', 'orchestration', 'Django', 'Artificial Intelligence', 'Machine learning', 'Programming', 'Healthcare', 'E-commerce', 'Python']"
Not Mentioned,Not Mentioned,Delhi / NCR,Not disclosed,"Proficient in Python, TensorFlow, Pytorch, and other relevant ML librariesThis role req...",5-6 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Pytorch', 'computer vision', 'AI', 'Machine Learning Engineer', 'llm', 'Python', 'TensorFlow']"
Not Mentioned,Omnie Solutions,Noida,10-20 Lacs PA,. We are seeking a highly skilled and motivated Data Science & Machine Learning Develop...,3-7 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization","['Enterprise Search', 'chatbot', 'AI', 'cloud', 'Machine learning', 'AWS Lex', 'Conversational AI', 'vector', 'vector database', 'aws', 'ML', 'azure']"
Not Mentioned,Not Mentioned,"Noida, Gurugram",Not disclosed,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/Machine LearningPri...,0-5 Yrs,Not Mentioned,"['ANN', 'deep learning', 'AI Modelling', 'CNN', 'NLP', 'RNN', 'Natural Language Processing', 'AI Data Modelling']"
Not Mentioned,Avalara,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,"   Join our dynamic team as  an  Engineer specializing in AI & Machine Learning, where ...",5-10 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer vision', 'Cloud computing', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Debugging', 'Conceptualization', 'Data structures', 'Python']"
Not Mentioned,Not Mentioned,Remote,35-45 Lacs PA,"Experience in programming skills in Python, Langchain and SQL is a mustPerform business...",10-20 Yrs,"Education
UG: Any Graduate","['prompt engineering', 'Generative AI', 'Machine Learning', 'Deep Learning', 'Numpy', 'Python']"
Not Mentioned,Not Mentioned,"Kolkata, Bengaluru, Delhi / NCR",Not disclosed,Educational Qualification : 15 years full time educationDesign and implement technology...,5-10 Yrs,"Education
UG: Any Graduate","['Power Bi', 'Artificial Intelligence', 'Natural Language Processing', 'Machine Learning Algorithms', 'Computer Vision', 'Deep Learning']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,"Good mathematical back ground and understanding of various concepts: Probability, Stati...",8-13 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Ph.D/Doctorate in Any Specialization","['Pytorch', 'C++', 'C', 'Git', 'version control systems', 'Python', 'TensorFlow']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,Experience/qualifications requirements :- 3 to 11+ years of experience.- MS/Phd in Comp...,3-8 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Ph.D/Doctorate in Any Specialization","['Java', 'C++', 'Data Scientist', 'Artificial Intelligence', 'Data Management', 'Algorithm', 'Data Structure', 'Python', 'Signal Processing']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,"- Hands on expertise in Artificial Intelligence, Machine Learning, Neural Networks, Hum...",3-8 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Ph.D/Doctorate in Any Specialization","['Java', 'Speech Recognition', 'C++', 'NLP', 'Data Structures', 'Computer Vision', 'Machine Learning', 'Python']"
