Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,not mentioned,"['noida', ' gurugram']",not disclosed,principal data scientist/senior data scientist/data scientist - nlp/machine learningpri...,0-5 yrs,"education
ug: b.tech/b.e. in any specialization
pg: m.tech in any specialization
doctorate: doctorate not required","['ann', 'deep learning', 'ai modelling', 'cnn', 'nlp', 'rnn', 'natural language processing', 'ai data modelling']",10.0,15.5,0.0,5.0
not mentioned,gsk india,['bengaluru'],not disclosed,bachelors degree and 4+ years of experience in pharmaceutical commercial analytics . ba...,3-7 yrs,"education
ug: any graduate
pg: any postgraduate","['procurement', 'pharma', 'power bi', 'healthcare', 'oncology', 'hr', 'analytics', 'sql', 'python', 'recruitment']",10.0,15.5,3.0,7.0
not mentioned,evalueserve,"['hybrid - gurugram', ' bengaluru', ' mumbai (all areas)']",not disclosed,"preferred candidate profile . bachelors degree or higher in statistics, mathematics, en...",3-8 yrs,not mentioned,['not mentioned'],10.0,15.5,3.0,8.0
not mentioned,ey,"['pune', ' gurugram', ' bengaluru']",not disclosed,preferred candidate profile . .,4-8 yrs,"education
ug: b.tech/b.e. in any specialization","['r', 'sas', 'power bi', 'revenue growth management', 'data visualization', 'tableau', 'machine learning', 'python', 'sql']",10.0,15.5,4.0,8.0
not mentioned,nds infoserv,['mumbai'],12-15 lacs pa,"bachelor accommodation providedcandidate should be a self-motivated, independent, detai...",0-2 yrs,"education
doctorate: ph.d/doctorate in electronics/telecommunication, computers",['data science'],12.0,15.0,0.0,2.0
not mentioned,loyalytics,['bengaluru'],not disclosed,we are specifically inviting fresh graduates from iits to join our energetic teamproven...,1-3 yrs,"education
ug: any graduate
pg: any postgraduate","['project management', 'written communication', 'agile', 'retail analytics', 'retail', 'sql', 'communication skills', 'transportation']",10.0,15.5,1.0,3.0
not mentioned,not mentioned,['bengaluru'],not disclosed,- knowledge of splunk- able to automate data flow from splunk to db (aware on the apis)...,4-6 yrs,"education
ug: b.tech/b.e. in any specialization
pg: any postgraduate
doctorate: doctorate not required","['aware', 'apis', 'web framework']",10.0,15.5,4.0,6.0
not mentioned,ncr corporation,['gurugram'],not disclosed,prior experience with internships or projects in ai / ml is a plus. . offers of employm...,2-6 yrs,"education
ug: any graduate
pg: any postgraduate","['deep learning', 'analytical', 'machine learning', 'programming', 'data collection', 'data structures', 'data visualization', 'recruitment', 'python']",10.0,15.5,2.0,6.0
not mentioned,collegedunia,['gurugram'],not disclosed,"- collecting, cleaning, and organizing data from various sources.- possessing a strong ...",1-2 yrs,"education
ug: any graduate
pg: any postgraduate
doctorate: doctorate not required","['nlp', 'data scientist', 'artificial intelligence', 'machine learning', 'predictive analytics', 'python']",10.0,15.5,1.0,2.0
not mentioned,indegene,['bengaluru'],not disclosed,". bachelors in computer science, data science, or a related fieldthe ideal candidate sh...",2-6 yrs,"education
ug: any graduate
pg: any postgraduate","['data analysis', 'data science', 'data manipulation', 'machine learning', 'manager technology', 'healthcare', 'natural language processing', 'python']",10.0,15.5,2.0,6.0
not mentioned,v2soft,['bengaluru'],not disclosed,"v2soft ( v2soft.com ) is a global company, headquartered out of bloomfield hills, michi...",5-9 yrs,"education
ug: any graduate
pg: any postgraduate","['project management', 'delivery management', 'engagement management', 'program management', 'business analysis', 'pcb', 'sql', 'application development']",10.0,15.5,5.0,9.0
not mentioned,not mentioned,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,"this range is determined by an array of factors, including training, transferable skill...",6-11 yrs,"education
ug: any graduate
pg: any postgraduate","['automation', 'data analysis', 'simulation', 'analytical', 'machine learning', 'flex', 'security services', 'healthcare', 'sql', 'game development']",10.0,15.5,6.0,11.0
not mentioned,ford,['chennai'],not disclosed,the potential candidate should have hands-on experience applying or methodologies and m...,2-6 yrs,"education
ug: any graduate
pg: any postgraduate","['supply chain', 'operations research', 'simulation', 'analytical', 'customer service', 'forecasting', 'analytics', 'sql', 'logistics']",10.0,15.5,2.0,6.0
