Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,not mentioned,"['mumbai', ' delhi / ncr', ' bengaluru']",not disclosed,preferred skills : exposure to signal processing concepts and sensor data handling. loc...,6-11 yrs,"education
ug: any graduate
pg: any postgraduate
doctorate: ph.d/doctorate in any specialization","['tensorflow', 'c++', 'dnn', 'artificial intelligence', 'deep learning', 'sensor', 'signal processing', 'python', 'algorithm design']",17.5,27.5,6.0,11.0
not mentioned,not mentioned,['bengaluru'],not disclosed,5 - 5 years of relevant machine learning experience. . - b tech from tier-1 college i.e...,3-5 yrs,"education
ug: b.tech/b.e. in any specialization
pg: any postgraduate
doctorate: doctorate not required","['data science', 'predictive modeling', 'scipy', 'generative ai', 'data scientist', 'pyspark', 'pandas', 'statistical modeling', 'big data', 'numpy', 'python']",17.5,27.5,3.0,5.0
not mentioned,not mentioned,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,prudential corporation asia is looking for senior machine learning engineer to join our...,4-9 yrs,"education
ug: any graduate
pg: any postgraduate","['algorithms', 'python', 'modeling', 'natural language processing', 'neural networks', 'data pipeline', 'machine learning', 'artificial intelligence', 'scalability', 'deep learning', 'ml algorithms', 'predictive modeling', 'computer vision', 'troubleshooting', 'machine learning algorithms', 'ml']",17.5,27.5,4.0,9.0
not mentioned,"godaddy operating company, llc","['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,"mid-level : 4+ years of experience, including 2+ years in machine learning or related f...",1-5 yrs,"education
ug: any graduate
pg: any postgraduate","['computer vision', 'version control', 'orchestration', 'django', 'artificial intelligence', 'machine learning', 'programming', 'healthcare', 'e-commerce', 'python']",17.5,27.5,1.0,5.0
not mentioned,not mentioned,['delhi / ncr'],not disclosed,"proficient in python, tensorflow, pytorch, and other relevant ml librariesthis role req...",5-6 yrs,"education
ug: any graduate
pg: any postgraduate","['pytorch', 'computer vision', 'ai', 'machine learning engineer', 'llm', 'python', 'tensorflow']",17.5,27.5,5.0,6.0
not mentioned,omnie solutions,['noida'],10-20 lacs pa,. we are seeking a highly skilled and motivated data science & machine learning develop...,3-7 yrs,"education
ug: b.tech/b.e. in any specialization","['enterprise search', 'chatbot', 'ai', 'cloud', 'machine learning', 'aws lex', 'conversational ai', 'vector', 'vector database', 'aws', 'ml', 'azure']",10.0,20.0,3.0,7.0
not mentioned,not mentioned,"['noida', ' gurugram']",not disclosed,principal data scientist/senior data scientist/data scientist - nlp/machine learningpri...,0-5 yrs,not mentioned,"['ann', 'deep learning', 'ai modelling', 'cnn', 'nlp', 'rnn', 'natural language processing', 'ai data modelling']",17.5,27.5,0.0,5.0
not mentioned,avalara,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,"   join our dynamic team as  an  engineer specializing in ai & machine learning, where ...",5-10 yrs,"education
ug: any graduate
pg: any postgraduate","['computer vision', 'cloud computing', 'analytical', 'artificial intelligence', 'machine learning', 'debugging', 'conceptualization', 'data structures', 'python']",17.5,27.5,5.0,10.0
not mentioned,not mentioned,['remote'],35-45 lacs pa,"experience in programming skills in python, langchain and sql is a mustperform business...",10-20 yrs,"education
ug: any graduate","['prompt engineering', 'generative ai', 'machine learning', 'deep learning', 'numpy', 'python']",35.0,45.0,10.0,20.0
not mentioned,not mentioned,"['kolkata', ' bengaluru', ' delhi / ncr']",not disclosed,educational qualification : 15 years full time educationdesign and implement technology...,5-10 yrs,"education
ug: any graduate","['power bi', 'artificial intelligence', 'natural language processing', 'machine learning algorithms', 'computer vision', 'deep learning']",17.5,27.5,5.0,10.0
not mentioned,not mentioned,"['noida', ' pune', ' bengaluru']",6-16 lacs pa,preferred location- . dob-. pan number-. kindly acknowledge the mail for the confirmati...,4-9 yrs,"education
ug: b.tech/b.e. in any specialization
pg: m.tech in any specialization, ms/m.sc(science) in any specialization, mca in any specialization, mba/pgdm in any specialization",['not mentioned'],6.0,16.0,4.0,9.0
not mentioned,not mentioned,"['hybrid - gurugram', ' bengaluru', ' delhi / ncr']",25-40 lacs pa,role - ml modeling data science/analyticslocation -  gurgaon/bangalore notice period- i...,4-9 yrs,"education
ug: any graduate","['logistic regression', 'decision tree', 'naive bayes', 'xgboost', 'linear regression', 'regression', 'neural networks', 'svm', 'random forest']",25.0,40.0,4.0,9.0
not mentioned,nurture agtech limited,['bengaluru(bellandur)'],25-32.5 lacs pa,"about usnurture.farm aspires to bring technology, digitization and best scientific prac...",6-11 yrs,not mentioned,['not mentioned'],25.0,32.0,6.0,11.0
not mentioned,not mentioned,"['hyderabad', ' bengaluru']",not disclosed,qualifications . a bachelor or master s degree with 6 years of experience within a star...,5-9 yrs,"education
ug: any graduate
pg: any postgraduate","['linux', 'artificial intelligence', 'machine learning', 'agile', 'healthcare', 'data quality', 'scrum', 'sql', 'python']",17.5,27.5,5.0,9.0
not mentioned,not mentioned,['noida'],not disclosed," position: ai & ml lead - conversational ai systemrole overview: as the ai & ml lead, y...",6-11 yrs,"education
ug: b.tech/b.e. in any specialization","['aws cloud', 'cloud', 'aws']",17.5,27.5,6.0,11.0
not mentioned,paypal,['bengaluru'],not disclosed,as a machine learning engineer you will be leading the india seller risk ml team.     y...,5-9 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'data science', 'coding', 'risk assessment', 'machine learning', 'wellness', 'data mining', 'financial services', 'sql', 'python']",17.5,27.5,5.0,9.0
not mentioned,capgemini,['chennai'],not disclosed,the role of a machine learning professional involves applying machine learning techniqu...,4-8 yrs,"education
ug: any graduate
pg: any postgraduate","['python', 'data analysis', 'linux', 'data structures']",17.5,27.5,4.0,8.0
not mentioned,purecode software,['hyderabad'],not disclosed,build a must use developer tool for front-end engineers to build web software 100x fast...,3-5 yrs,"education
ug: b.tech/b.e. in any specialization
pg: llm in any specialization
doctorate: doctorate not required","['ml engineer', 'cometml', 'docker', 'mlflow', 'machine learning operations', 'ai researcher. ml developer']",17.5,27.5,3.0,5.0
not mentioned,ey,"['hybrid - chennai', ' bengaluru']",not disclosed,"jd below : . bachelors or masters degree in a quantitative field (cs, machine learning,...",5-8 yrs,"education
ug: b.tech/b.e. in any specialization
pg: m.tech in any specialization, mca","['predictive modeling', 'natural language processing', 'statistical modeling', 'ml', 'python', 'sql', 'predictive analytics']",17.5,27.5,5.0,8.0
not mentioned,not mentioned,['pune'],20-32.5 lacs pa,"  dear candidate, warm greetings from buzzworks!we are hiring machine learning engineer...",6-11 yrs,"education
ug: b.tech/b.e. in any specialization","['tensorflow', 'pytorch', 'gcp', 'vertex ai', 'natural language processing', 'aws', 'deep learning']",20.0,32.0,6.0,11.0
not mentioned,frontera health ,"['hybrid - panaji', ' bengaluru', ' delhi / ncr']",15-30 lacs pa, job descriptionwe seek a highly skilled machine learning engineer to join our ai team ...,1-5 yrs,"education
ug: b.tech/b.e. in any specialization
pg: ms/m.sc(science) in any specialization, m.tech in any specialization","['pytorch', 'algorithm development', 'cnn']",15.0,30.0,1.0,5.0
not mentioned,frontera health,"['hybrid - panaji', ' bengaluru', ' delhi / ncr']",25-40 lacs pa,"bachelors or masters degree in computer science, engineering, or a related fieldexperie...",4-9 yrs,"education
ug: b.tech/b.e. in computers
pg: m.tech in any specialization, ms/m.sc(science) in any specialization, other post graduate","['tensorflow', 'pytorch', 'code writing', 'computer vision', 'ml algorithms', 'code versioning tools']",25.0,40.0,4.0,9.0
not mentioned,merck,['bengaluru'],not disclosed,"experience with llm application development frameworks such as langchain, llamaindex, h...",4-9 yrs,"education
ug: any graduate
pg: llm in law","['version control', 'git', 'machine learning', 'agile', 'application development', 'open source', 'information technology', 'forecasting', 'monitoring']",17.5,27.5,4.0,9.0
not mentioned,cardinal health,['hybrid - bengaluru'],not disclosed,machine learning engineerdepartment overviewaugmented intelligence (augintel) builds au...,5-10 yrs,"education
ug: any graduate, b.tech/b.e. in any specialization","['tensorflow', 'decision tree', 'concourse', 'natural language processing', 'bayesian', 'neural networks', 'regression', 'clustering', 'jupiter notebook', 'jenkins', 'gen ai', 'probability networks']",17.5,27.5,5.0,10.0
not mentioned,diageo,['bengaluru'],not disclosed,"bachelor s or master s degree in computer science, data science, or a related field. 6 ...",6-8 yrs,"education
ug: any graduate
pg: any postgraduate","['analytical skills', 'data manipulation', 'spark', 'machine learning', 'agile', 'sez', 'big data', 'sql', 'python']",17.5,27.5,6.0,8.0
not mentioned,not mentioned,"['pune', ' bengaluru']",not disclosed,experience level: mid . about seva.ai . seva is an innovative digital platform designed...,4-6 yrs,"education
ug: any graduate","['container', 'artificial intelligence', 'natural language processing', 'machine learning', 'aws', 'deep learning']",17.5,27.5,4.0,6.0
not mentioned,nxtwave disruptive technologies,['hyderabad'],not disclosed,position: lead curriculum developer - data science & machine learningabout nxtwave: nxt...,4-8 yrs,"education
ug: b.tech/b.e. in computers","['communication skills', 'artificial intelligence', 'trainer', 'python']",17.5,27.5,4.0,8.0
not mentioned,not mentioned,['gurugram'],25-30 lacs pa,"must have exposure in designing, development and deployment machine learning algorithms...",2-6 yrs,"education
ug: any graduate","['tensorflow', 'artificial intelligence', 'natural language processing', 'machine learning developer', 'ml developer', 'ml algorithms', 'pytorch', 'image processing', 'machine learning algorithms', 'machine programming']",25.0,30.0,2.0,6.0
not mentioned,numentica,['remote'],unpaid,not mentioned,not mentioned,"education
ug: any graduate
pg: any postgraduate","['training', 'data analysis', 'intern', 'architecture', 'machine learning', 'data collection', 'model development', 'testing']",17.5,27.5,nan,nan
not mentioned,capgemini,['hyderabad'],not disclosed,the role of a machine learning professional involves applying machine learning techniqu...,3-6 yrs,"education
ug: any graduate
pg: any postgraduate","['algorithms', 'data analysis', 'machine learning engineer']",17.5,27.5,3.0,6.0
not mentioned,optisol business solutions,"['hybrid - madurai', ' chennai', ' coimbatore']",5-12 lacs pa,"bonus: experience in r&d, math, and statistics is a plus!",2-5 yrs,"education
ug: any graduate",['not mentioned'],5.0,12.0,2.0,5.0
not mentioned,tiger analytics,"['hybrid - hyderabad', ' chennai', ' bengaluru']",15-25 lacs pa,experience in devising creative analytical approaches to solve business problems develo...,6-10 yrs,"education
ug: any graduate
pg: any postgraduate","['pyspark', 'mlops', 'gcp', 'machine learning algorithms', 'machine learning', 'aws', 'azure']",15.0,25.0,6.0,10.0
not mentioned,cloudsek information security,['bengaluru'],not disclosed,"basic hands-on experience in databases like elasticsearch, mongodb, vectordbs, etc . st...",0-2 yrs,"education
ug: any graduate
pg: any postgraduate","['supply chain', 'automation', 'version control', 'git', 'artificial intelligence', 'machine learning', 'data processing', 'mongodb', 'monitoring', 'python']",17.5,27.5,0.0,2.0
not mentioned,brainlabs digital,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,". we are looking for an experienced machine learning engineer to join our team, with 4-...",5-8 yrs,"education
ug: any graduate
pg: any postgraduate","['digital media', 'civil', 'data science', 'cloud services', 'machine learning', 'cloud', 'infrastructure', 'management', 'open source', 'aws']",17.5,27.5,5.0,8.0
not mentioned,brainlabs group of companies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,". we are looking for an experienced machine learning engineer to join our team, with 4-...",5-8 yrs,"education
ug: any graduate
pg: any postgraduate","['digital media', 'civil', 'data science', 'cloud services', 'machine learning', 'cloud', 'management', 'open source', 'aws']",17.5,27.5,5.0,8.0
not mentioned,motive,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,   who we are:    motive empowers the people who run physical operations with tools to ...,1-4 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'computer vision', 'deep learning', 'c++', 'backend', 'machine learning', 'manager technology', 'robotics', 'python', 'logistics']",17.5,27.5,1.0,4.0
not mentioned,not mentioned,['hyderabad'],not disclosed,"major responsibilities- use machine learning, deep learning, reinforcement learning, st...",8-12 yrs,"education
ug: any graduate
pg: cs in any specialization
doctorate: ph.d/doctorate in any specialization","['unix', 'java', 'c++', 'linux', 'project management', 'phd', 'python', 'sql']",17.5,27.5,8.0,12.0
not mentioned,inmobi,['bengaluru'],not disclosed,"bachelors degree in computer science, data science, machine learning, statistics, or a ...",3-5 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'basic', 'nosql', 'data management', 'machine learning', 'hypothesis testing', 'weaving', 'statistics', 'sql', 'python']",17.5,27.5,3.0,5.0
not mentioned,visionyle solutions,['bengaluru'],not disclosed,bachelors with 9+ years or masters with 7+ years of experience in data science and ml (...,9-12 yrs,"education
ug: b.tech/b.e. in any specialization
pg: any postgraduate
doctorate: doctorate not required","['cnn', 'llms', 'lstms', 'dl', 'mlp', 'rnn', 'gradient boosting', 'aws sagemaker', 'forest']",17.5,27.5,9.0,12.0
not mentioned,verve,"['hybrid - pune', ' bengaluru']",not disclosed,a postgraduate degree in a relevant quantitative field (e.gstrong application and ml de...,5-10 yrs,"education
pg: ms/m.sc(science) in any specialization","['data science', 'real time algorithms', 'ml systems', 'ml algorithms', 'python']",17.5,27.5,5.0,10.0
not mentioned,glance,['bengaluru'],not disclosed,or bachelors with additional experienceexcellent technical and business communication s...,3-6 yrs,"education
ug: any graduate
pg: any postgraduate","['cloud computing', 'product engineering', 'machine learning', 'conceptualization', 'agile', 'product design', 'analytics', 'python', 'android']",17.5,27.5,3.0,6.0
not mentioned,avataar.ai,['bengaluru'],not disclosed,"    as an applied ml engineer, you will be developing product features leveraging the l...",6-9 yrs,"education
ug: any graduate
pg: any postgraduate","['machine learning', 'deployment']",17.5,27.5,6.0,9.0
not mentioned,xcellence it,['surat'],not disclosed,"bachelor s or master s degree in computer science, machine learning, artificial intelli...",2-6 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'cloud computing', 'data analysis', 'data science', 'gcp', 'artificial intelligence', 'machine learning', 'natural language processing', 'research', 'python']",17.5,27.5,2.0,6.0
not mentioned,innowise,['pune'],not disclosed,very strong willingness and ability to learn autonomously and together with the team (e...,2 yrs,"education
ug: any graduate
pg: any postgraduate","['data analysis', 'data science', 'kpi', 'artificial intelligence', 'project management', 'machine learning', 'manager technology', 'business case', 'robotics', 'python']",17.5,27.5,nan,nan
not mentioned,feynn labs,['remote'],"5,000/month",not mentioned,not mentioned,"education
ug: b.tech/b.e. in any specialization, b.sc in any specialization","['pandas', 'r', 'scikit-learn', 'data analysis', 'numpy']",17.5,27.5,nan,nan
not mentioned,cloud counselage,['hyderabad'],unpaid,not mentioned,not mentioned,"education
ug: any graduate
pg: any postgraduate","['supervisor', 'cvs', 'technical management', 'min', 'machine learning', 'cloud', 'http', 'application software', 'internship', 'supervision']",17.5,27.5,nan,nan
not mentioned,pepsico,['hyderabad'],not disclosed,"having extensive industry experience with infrastructure such as code (terraform), orch...",5-9 yrs,"education
ug: b.tech/b.e. in any specialization
pg: any postgraduate","['kubeflow', 'azure', 'pytorch', 'gcp', 'scikit-learn', 'mlflow', 'prometheus', 'grafana', 'aws', 'tensorflow']",17.5,27.5,5.0,9.0
not mentioned,biz-metric india,"['mumbai', ' chandigarh', ' pune', ' gurugram', ' bengaluru']",not disclosed, bangalore / gurgaon / pune / mumbai / chandigarh  machine learning engineer (azure + d...,3-8 yrs,"education
ug: any graduate
pg: any postgraduate","['computer vision', 'automation', 'image processing', 'coding', 'artificial intelligence', 'machine learning', 'data collection', 'natural language processing', 'analytics', 'python']",17.5,27.5,3.0,8.0
not mentioned,epaisa,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,. stay up to date with the latest advancements in ai and machine learning research to c...,2-4 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'deep learning', 'usage', 'neural networks', 'service industry', 'machine learning', 'natural language processing', 'research', 'aws', 'python']",17.5,27.5,2.0,4.0
not mentioned,ideatree,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,. stay up to date with the latest advancements in ai and machine learning research to c...,2-4 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'deep learning', 'usage', 'neural networks', 'service industry', 'machine learning', 'natural language processing', 'research', 'aws', 'python']",17.5,27.5,2.0,4.0
not mentioned,angel one,['remote'],not disclosed," about angel one : angel one limited is a fintech company providing broking services, m...",2-4 yrs,not mentioned,['not mentioned'],17.5,27.5,2.0,4.0
not mentioned,codiant - a yash technologies company,['indore'],not disclosed, hands-on experience with the design and implementation of machine learning and deep le...,2-5 yrs,"education
ug: any graduate","['tensorflow', 'ann', 'matplotlib', 'cnn', 'natural language processing', 'neural networks', 'ml algorithms', 'scikit-learn', 'deep learning', 'numpy', 'random forest', 'pytorch', 'rnn', 'django', 'pandas', 'transformers', 'keras', 'flask']",17.5,27.5,2.0,5.0
